epoch,abdomen,eyeL,eyeR,forelegL,forelegR,head,hindlegL,hindlegR,loss,lr,midlegL,midlegR,proboscis,thorax,val_abdomen,val_eyeL,val_eyeR,val_forelegL,val_forelegR,val_head,val_hindlegL,val_hindlegR,val_loss,val_midlegL,val_midlegR,val_proboscis,val_thorax,val_wingL,val_wingR,wingL,wingR
0,0.0005954509251751006,0.0005905909929424524,0.0005908546736463904,0.0005405890988186002,0.0005430756718851626,0.0005867339787073433,0.0005620772717520595,0.0005626066704280674,0.0005375163163989782,1e-04,0.0005647044745273888,0.0005600539734587073,5.390237129176967e-05,0.0005712135462090373,0.0005936516681686044,0.000587178859859705,0.0005871813627891243,0.000517101027071476,0.0005479745450429618,0.0005824595573358238,0.0005727476091124117,0.0005609877407550812,0.0005295021692290902,0.00054502475541085,0.0005493127391673625,4.2020543332910165e-05,0.0005224155611358583,0.0006024076719768345,0.0006025671609677374,0.0006019079592078924,0.0006014658720232546
1,0.0005484441062435508,0.000534924678504467,0.0005443202098831534,0.0005382329109124839,0.0005383382085710764,0.0004998090444132686,0.0005601839511655271,0.0005616634152829647,0.0005096407840028405,1e-04,0.0005616965936496854,0.0005586371989920735,5.332782893674448e-05,0.00047827293747104704,0.0004295682592783123,0.0004106302512809634,0.00042782194213941693,0.000516367785166949,0.0005465197609737515,0.00039759062929078937,0.0005727465613745153,0.0005605854676105082,0.00045736381434835494,0.0005442198016680777,0.0005485499859787524,4.481528958422132e-05,0.00038857190520502627,0.0005073285428807139,0.000507779186591506,0.000578049395699054,0.0005790668656118214
2,0.00031549003324471414,0.0003504047926981002,0.00035841032513417304,0.0005352497682906687,0.0005358537309803069,0.00031591361039318144,0.0005579719436354935,0.0005596347618848085,0.0004187040321994573,1e-04,0.0005591955268755555,0.0005566717591136694,5.292965215630829e-05,0.00026759455795399845,0.00021698269119951874,0.0002549909695517272,0.0002819895453285426,0.000504111812915653,0.0005319410120137036,0.0002484683063812554,0.0005636224523186684,0.0005518810939975083,0.0003780002298299223,0.000535101571585983,0.0005411122110672295,4.065700341016054e-05,0.0002287661045556888,0.0003808909677900374,0.00041148628224618733,0.0004423829959705472,0.00045415389467962086
3,0.0001925098622450605,0.0002618774014990777,0.0002682644408196211,0.00048548990162089467,0.0004737915878649801,0.00020728087110910565,0.0005240023601800203,0.0005327877006493509,0.0003468138165771961,1e-04,0.0005207759677432477,0.0005194926634430885,5.090027843834832e-05,0.0001829323882702738,0.00016967214469332248,0.0002353719755774364,0.00024413294158875942,0.0004036869795527309,0.00039261538768187165,0.0002169179788324982,0.000508662429638207,0.0005032903864048421,0.00031364342430606484,0.00046269100857898593,0.00047323532635346055,3.9509784983238205e-05,0.0002274814178235829,0.0002482619311194867,0.00026547833112999797,0.0003155256272293627,0.0003197600308340043
4,0.00016526607214473188,0.00024387000303249806,0.0002476540394127369,0.0003923130570910871,0.00037363573210313916,0.00018319959053769708,0.0004614629433490336,0.00047003303188830614,0.0003033572866115719,1e-04,0.0004649527254514396,0.0004722823796328157,4.911793803330511e-05,0.00016878846508916467,0.0001609496830496937,0.00020925035641994327,0.0002213185653090477,0.0003431995282880962,0.0003544687060639262,0.00018298720533493906,0.0004454369773156941,0.0004123866092413664,0.0002784477546811104,0.0004405232612043619,0.0004567003343254328,3.623635711846873e-05,0.00015937969146762043,0.00023692791000939906,0.00023850232537370175,0.0002786389668472111,0.00027578879962675273
5,0.00014863739488646388,0.00022616064234171063,0.00023211554798763245,0.00034723663702607155,0.0003269494918640703,0.00015919141878839582,0.000368634209735319,0.00038389829569496214,0.0002691467525437474,1e-04,0.0004306840128265321,0.00043770638876594603,4.6001659939065576e-05,0.0001582722761668265,0.00013335324183572084,0.0002069103647954762,0.00021192860731389374,0.00029716957942582667,0.000301774445688352,0.0001563971018185839,0.000342470477335155,0.00031871855026111007,0.0002380115765845403,0.000375042058294639,0.00037426347262226045,3.349909820826724e-05,0.00015831494238227606,0.0002082423452520743,0.00021407855092547834,0.0002527197648305446,0.00024985047639347613
6,0.00013305667380336672,0.00021328558796085417,0.0002209202793892473,0.00031930874683894217,0.0003029529470950365,0.00014583347365260124,0.0003129074757453054,0.0003300887765362859,0.0002377101336605847,1e-04,0.00034927926026284695,0.0003532519331201911,4.081940642208792e-05,0.00014786171959713101,0.00016190929454751313,0.00018655315216165036,0.00020829621644224972,0.00029543170239776373,0.0002997907577082515,0.00014700616884510964,0.00035204607411287725,0.0003254616749472916,0.00022909435210749507,0.0003192431468050927,0.00031786548788659275,2.640635284478776e-05,0.00015130848623812199,0.00021036301041021943,0.00020563910948112607,0.00023163229343481362,0.0002267434902023524
7,0.00012978934682905674,0.00020175617828499526,0.0002120225690305233,0.0003070909879170358,0.0002889040333684534,0.0001359390589641407,0.0002951461647171527,0.00030462665017694235,0.000222877599298954,1e-04,0.00030820921529084444,0.000313777505652979,3.527364242472686e-05,0.0001421672641299665,0.00013022968778386712,0.00018613252905197442,0.00018995910068042576,0.00025899213505908847,0.0002534272789489478,0.00014351312711369246,0.00027608481468632817,0.00027882683207280934,0.0002005123533308506,0.00026762328343465924,0.00027228478575125337,2.0003721147077158e-05,0.0001495006144978106,0.00018398482643533498,0.00019661072292365134,0.00022300294949673116,0.0002225793432444334
8,0.00012820989650208503,0.00019450497347861528,0.0002063693100353703,0.00028477280284278095,0.00027126408531330526,0.00012754533963743597,0.0002758762566372752,0.00027896329993382096,0.00020936541841365397,1e-04,0.00028316176030784845,0.0002861575921997428,3.117537562502548e-05,0.00014267521328292787,0.00011236035061301664,0.00016209317254833877,0.0001795686112018302,0.00024589989334344864,0.000251173012657091,0.00012341391993686557,0.0002549684722907841,0.00025917956372722983,0.00018855433154385537,0.00026897789211943746,0.000270722433924675,1.97036952158669e-05,0.00013431647676043212,0.00017863564426079392,0.000178747926838696,0.00021375465439632535,0.0002066848101094365
9,0.00011625114711932838,0.0001900363713502884,0.000199022120796144,0.00027446422609500587,0.00026054357294924557,0.00012332748156040907,0.00025969630223698914,0.000267728726612404,0.0001989969314308837,1e-04,0.0002640711609274149,0.00026652071392163634,2.8202015528222546e-05,0.00013629406748805195,0.00011582386650843546,0.0001534404291305691,0.00016982181114144623,0.0002368330315221101,0.0002671440888661891,0.00013165119162295014,0.00024566982756368816,0.00024354510242119431,0.00018158915918320417,0.0002232791157439351,0.000260782748227939,2.2221918698051013e-05,0.00013640974066220224,0.00016990091535262764,0.00016572496679145843,0.00020204769680276513,0.00019774925021920353
10,0.00011254188575549051,0.0001834437862271443,0.0001904906239360571,0.0002601247688289732,0.0002445600985083729,0.00011609814828261733,0.0002495966909918934,0.00025103549705818295,0.00018938994617201388,1e-04,0.0002533954393584281,0.000247490155743435,2.6976415028912015e-05,0.0001277412084164098,0.00012129609240218997,0.0001547223946545273,0.00017618274432606995,0.0002503073774278164,0.0002429313026368618,0.00011467621516203508,0.0002407180581940338,0.00024856056552380323,0.00018228621047455817,0.0002380882069701329,0.0002758181362878531,2.1564288545050658e-05,0.00012351054465398192,0.0001844084617914632,0.00015922296734061092,0.0001970352022908628,0.0001909279526444152
11,0.00011179428838659078,0.0001816435978980735,0.00018814991926774383,0.00025267849559895694,0.0002410595043329522,0.000113499685539864,0.00024648927501402795,0.00024208324612118304,0.0001851207489380613,1e-04,0.00024231478164438158,0.00023795060405973345,2.549948840169236e-05,0.00013036154268775135,0.00011080457625212148,0.00015646057727281004,0.00015891836665105075,0.0002505978918634355,0.00023516913643106818,0.0001118967920774594,0.00023534757201559842,0.00024188424868043512,0.00017870317969936877,0.00023698084987699986,0.0002498301910236478,1.6761534425313585e-05,0.00014370642020367086,0.00017200146976392716,0.0001814849820220843,0.0001922189985634759,0.00018594549328554422
12,0.00010307398770237342,0.00017578106781002134,0.00018155956058762968,0.0002406044368399307,0.00022494106087833643,0.000106734674773179,0.00022927613463252783,0.00023221479204948992,0.0001755133707774803,1e-04,0.0002296508027939126,0.00022687282762490213,2.6102952688233927e-05,0.00012266667908988893,9.212992154061794e-05,0.00016960609355010092,0.00017627562920097262,0.0002425220445729792,0.00022921842173673213,0.00011508468014653772,0.00022008057567290962,0.0002463203272782266,0.0001695842220215127,0.0002150144864572212,0.00023244007024914026,1.7292837583227083e-05,0.00012300247908569872,0.00014586404722649604,0.00014932769408915192,0.00017958131502382457,0.00017812580335885286
13,0.00010020525223808363,0.00016979986685328186,0.00017877684149425477,0.00023302655608858913,0.00021856733656022698,0.0001045893513946794,0.000223030976485461,0.00022438359155785292,0.00016991123266052455,1e-04,0.00022094615269452333,0.00021755755005870014,2.4963930627563968e-05,0.0001202229832415469,0.00010546293924562633,0.00017865226254798472,0.00017986161401495337,0.00024778861552476883,0.00022037695453036577,0.0001291258231503889,0.00022875730064697564,0.00023733865236863494,0.00017952492635231465,0.00022451169206760824,0.0002480200491845608,1.7182972442242317e-05,0.00013500565546564758,0.00018614158034324646,0.00017512301565147936,0.00017339317128062248,0.00016929497360251844
14,9.99579206109047e-05,0.0001663737348280847,0.00017653536633588374,0.000222459202632308,0.0002161229058401659,0.00010161470709135756,0.0002155282418243587,0.0002207879297202453,0.00016721659631002694,1e-04,0.00021189948893152177,0.00021769276645500213,2.332172152819112e-05,0.00012134559801779687,8.774916204856709e-05,0.0001505297695985064,0.00016238859097938985,0.00023210399376694113,0.0002237770677311346,0.0001020000854623504,0.00021735404152423143,0.00022514269221574068,0.0001615083310753107,0.00021882829605601728,0.00023752287961542606,2.0573103029164486e-05,0.00010850629769265652,0.0001315987465204671,0.00014304229989647865,0.00017654598923400044,0.00017084696446545422
15,0.00010136071796296164,0.00016407149087172002,0.0001718070125207305,0.00021427121828310192,0.00021331384778022766,0.0001002795688691549,0.0002118809352396056,0.00021588252275250852,0.00016300506831612438,1e-04,0.00020774624135810882,0.00020254126866348088,2.2566904590348713e-05,0.00011869337322423235,0.00010755611583590508,0.00015535079000983387,0.00017045198183041066,0.00023298794985748827,0.00023248717479873449,0.00013454409781843424,0.0002207046636613086,0.0002338482008781284,0.00017561820277478546,0.00021091842791065574,0.0002467834565322846,1.9173086911905557e-05,0.0001612886699149385,0.0001688766060397029,0.00016368353681173176,0.00017226600903086364,0.00016539127682335675
16,9.690343722468242e-05,0.0001580069656483829,0.00016716243408154696,0.00020900860545225441,0.00019900464394595474,9.924206824507564e-05,0.0002060581318801269,0.00020667933858931065,0.00015795526269357651,1e-04,0.0002026659349212423,0.00020016712369397283,2.2206526409718208e-05,0.00011407244892325252,0.00010568377183517441,0.00016266365128103644,0.0001635825028643012,0.000236609106650576,0.00021428779291454703,0.00011070794425904751,0.0002290676929987967,0.00021835284132976085,0.00016962560766842216,0.00022606232960242778,0.00023685309861321002,1.7772759747458622e-05,0.00013749250501859933,0.00015072899986989796,0.0001648933975957334,0.00016842452168930322,0.00016177239012904465
17,9.435477841179818e-05,0.00015535252168774605,0.00016583508113399148,0.00020307103113736957,0.00019671964400913566,9.826171299209818e-05,0.00020375194435473531,0.0002013649936998263,0.0001542481768410653,1e-04,0.00019603024702519178,0.00018888834165409207,2.1579311578534544e-05,0.0001130642049247399,9.214360034093261e-05,0.0001537444768473506,0.00015349354362115264,0.0002454417117405683,0.00021866218594368547,0.00011529290350154042,0.00022467999951913953,0.00020994700025767088,0.00016315268294420093,0.00019712002540472895,0.00022951133723836392,1.990377131733112e-05,0.0001286541810259223,0.0001413381251040846,0.0001542051904834807,0.0001630236947676167,0.000158176408149302
18,9.14021220523864e-05,0.00014997606922406703,0.00015909523062873632,0.00019987195264548063,0.00019166438141837716,9.26758220884949e-05,0.00019514669838827103,0.0001958648645086214,0.00014925628784112632,1e-04,0.00018756410281639546,0.00018590719264466316,1.9534425518941134e-05,0.00010889676195802167,0.00010356600250815973,0.00015333763440139592,0.00016335795226041228,0.00023117127420846373,0.00020898037473671138,0.00011861434177262709,0.00021494869724847376,0.00020052265608683228,0.00016241130651906133,0.00021974417904857546,0.00021681607177015394,1.5906502085272223e-05,0.00013337464770302176,0.0001498021447332576,0.00014361570356413722,0.00015894130046945065,0.00015304704720620066
19,9.097185829887167e-05,0.00014345742238219827,0.00014800670032855123,0.0001855723821790889,0.00018137862207368016,9.036897972691804e-05,0.0001879058254417032,0.00018609981634654105,0.00014140972052700818,1e-04,0.00017919619858730584,0.0001712413359200582,1.828476888476871e-05,0.00010044474765891209,8.949827315518633e-05,0.00014989711053203791,0.00015739268565084785,0.00022881553741171956,0.00021389637549873441,0.00011629155051195994,0.0001996419596252963,0.00021308613941073418,0.0001568313455209136,0.00019105883256997913,0.00022037293820176274,1.7085032595787197e-05,0.00012495183909777552,0.00013746743206866086,0.00013618283264804631,0.00015017460100352764,0.00014663184992969036
20,8.76017875270918e-05,0.0001407710660714656,0.00014980572450440377,0.00018306328274775296,0.0001757318968884647,9.046617924468592e-05,0.00018109488883055747,0.00018034662934951484,0.00013835403660777956,1e-04,0.00016936339670792222,0.0001684301532804966,1.8418522813590243e-05,0.00010276195826008916,9.57740267040208e-05,0.00015294716286007315,0.00015737795911263674,0.00023609015624970198,0.00021424322039820254,0.00010117339115822688,0.00022522670042235404,0.00021368113812059164,0.00016497976321261376,0.0002109391789417714,0.00022023161000106484,1.9993702153442428e-05,0.00011907667067134753,0.00016526550462003797,0.00017769586702343076,0.00014883559197187424,0.00014026496501173824
21,8.418710785917938e-05,0.00013853717246092856,0.00014597138215322047,0.0001746549241943285,0.0001689264172455296,8.614223770564422e-05,0.00017319833568762988,0.00017780954658519477,0.0001344634365523234,1e-04,0.00016691666678525507,0.0001643534778850153,1.783675361366477e-05,9.929035149980336e-05,9.202845103573054e-05,0.00017075997311621904,0.00018566516519058496,0.0002196380082750693,0.00020933359337504953,0.00011558325059013441,0.0002111665962729603,0.00021327962167561054,0.00016362972382921726,0.00019939112826250494,0.0002071999479085207,1.473894008086063e-05,0.00013976161426398903,0.0001473264128435403,0.00016494379087816924,0.00014669315714854747,0.00013797113206237555
22,8.473035268252715e-05,0.00013469003897625953,0.00014005535922478884,0.000174244589288719,0.0001625517470529303,8.709391840966418e-05,0.00017092224152293056,0.00017415818001609296,0.00013144761032890528,1e-04,0.00016361639427486807,0.00015913834795355797,1.5930474546621554e-05,9.726540156407282e-05,0.00010474106238689274,0.00015229724522214383,0.00017391666187904775,0.0002155424008378759,0.0002163571771234274,0.00011367585102561861,0.00019831750250887126,0.00020650029182434082,0.00016310071805492043,0.00020178365230094641,0.00023239001166075468,1.6668718672008254e-05,0.00013965947437100112,0.00015701026131864637,0.0001545496197650209,0.00013918337936047465,0.0001366846263408661
23,8.43300367705524e-05,0.00012979278108105063,0.00013701834541279823,0.00016224451246671379,0.00015986739890649915,8.586924377596006e-05,0.0001634386135265231,0.00017270183889195323,0.00012779177632182837,1e-04,0.00015808931493666023,0.0001524059334769845,1.6494455849169753e-05,9.756450890563428e-05,0.00010098444181494415,0.00016760299331508577,0.00017480493988841772,0.00021698216733057052,0.00020841587684117258,0.00011712573177646846,0.00022553977032657713,0.00021912044030614197,0.00016798876458778977,0.00021197320893406868,0.00022368694772012532,1.8430091586196795e-05,0.0001482039806433022,0.0001563019905006513,0.00016267021419480443,0.00013846380170434713,0.00013080395001452416
24,8.564441668568179e-05,0.00013162694813217968,0.0001364119234494865,0.00015989452367648482,0.00015491318481508642,9.0016947069671e-05,0.00016247980238404125,0.000165891571668908,0.00012684977264143527,1e-04,0.00015534083649981767,0.00015047239139676094,1.700677239568904e-05,9.806990419747308e-05,9.291331662097946e-05,0.00013636458606924862,0.00015880654973443598,0.00020754634169861674,0.00019602089014369994,0.00010867930541280657,0.00020992518693674356,0.00020755035802721977,0.00015276088379323483,0.00018267944687977433,0.00021573812409769744,1.3982526979816612e-05,0.00011983137665083632,0.00014822103548794985,0.00014039366215001792,0.00013624555140268058,0.00013188070442993194
